"gene.symble","TPM"
"IZUMO2",0
"EMC10",0
"OR7G1",0
"KRT82",0
"ZNF653",0
"BCL6B",0
"TNFSF13",0
"FGF11",0
"EIF4A1",0
"RPL26",0
"HS3ST6",0
"GNG3",0
"BEND5",0
"CTRC",0
"KNCN",0
"WNT4",0
"C1orf87",0
"OMA1",0
"LHX8",0
"B3GALT2",0
"HENMT1",0
"CADM3",0
"TRIM58",0
"SLAMF9",0
"OR2M5",0
"KCNJ9",0
"SLAMF6",0
"FCGR3B",0
"LRRC52",0
"PM20D1",0
"IL20",0
"IL24",0
"FCAMR",0
"LRRTM1",0
"NEUROD1",0
"TEKT4",0
"EN1",0
"CCDC140",0
"BBS5",0
"BIRC8",0
"PDHA2",0
"TNFAIP8L2",0
"TMOD4",0
"LCE3D",0
"IVL",0
"SPRR3",0
"SPRR2D",0
"BMP10",0
"PGLYRP4",0
"S100A12",0
"LMOD3",0
"CCKAR",0
"KRTCAP2",0
"CXCR1",0
"FEV",0
"CRYBA2",0
"DPPA2",0
"MNDA",0
"NKX6-1",0
"CLRN1",0
"PPBP",0
"PF4",0
"CPA3",0
"CLEC3B",0
"ZMYM6",0
"POLR2H",0
"CAMP",0
"HAND2",0
"ADAD1",0
"NPY1R",0
"NPY5R",0
"HHIP",0
"F2RL2",0
"PRDM9",0
"SCGB3A2",0
"ESM1",0
"SPZ1",0
"TMEM174",0
"CARTPT",0
"FAM170A",0
"SLC6A18",0
"IL3",0
"FABP7",0
"TLX3",0
"NEUROD6",0
"GPR85",0
"SP8",0
"TAGAP",0
"COL1A2",0
"SLC35G3",0
"SOX17",0
"C7orf57",0
"EN2",0
"KCNV1",0
"DEFA5",0
"DEFA4",0
"DEFA6",0
"SPAG11B",0
"BAALC",0
"DCSTAMP",0
"SYK",0
"PRKACG",0
"PRSS37",0
"SSMEM1",0
"CYBB",0
"PTCHD1",0
"OR1Q1",0
"OR1K1",0
"SLITRK5",0
"GPR101",0
"LRRC18",0
"SPTSSA",0
"ANXA8",0
"PHOX2A",0
"RPL10L",0
"MAGEC3",0
"AMER2",0
"SSX5",0
"SSX3",0
"OTX2",0
"OXGR1",0
"CLEC1B",0
"TMEM52B",0
"OR4K2",0
"MAGEA9",0
"PASD1",0
"IL25",0
"SPATA19",0
"AVPR1A",0
"OPN1MW2",0
"SPIC",0
"TMEM100",0
"CCDC182",0
"POTED",0
"OR10A5",0
"OR2D2",0
"CRABP1",0
"PLD4",0
"CLEC3A",0
"CLEC4D",0
"MC4R",0
"SERPINB12",0
"SPDYE6",0
"HTR3A",0
"CATSPER2",0
"LDHAL6A",0
"TMEM170A",0
"SCNN1G",0
"GPR182",0
"OR4D6",0
"ELFN2",0
"MS4A6E",0
"MS4A7",0
