#ccds	RefSeq	UniProtKB
CCDS2.2	NP_689699.2	Q96NU1-3
CCDS14512.1	NP_001135903.1	Q15014
CCDS14512.1	NP_001135904.1	Q15014
CCDS14512.1	NP_036418.1	Q15014
CCDS14513.1	NP_000524.3	P60201-1
CCDS14513.1	NP_001122306.1	P60201-1
CCDS14514.1	NP_955772.1	P60201-2
CCDS14515.1	NP_057454.1	Q9NP90
CCDS14516.1	NP_703149.1	Q8N693
CCDS14517.1	NP_059112.1	Q9NP60
CCDS14518.1	NP_000345.2	P05543
CCDS14519.1	NP_060485.4	Q6NSI4-1
CCDS14520.1	NP_078815.3	Q8TEB7-2
CCDS14521.1	NP_919445.1	Q8TEB7-1
CCDS14522.1	NP_060222.2	Q0IIM8-1
CCDS14523.1	NP_942582.1	Q0IIM8-3
CCDS14524.1	NP_001164563.1	P57739
CCDS14524.1	NP_001164566.1	P57739
CCDS14524.1	NP_065117.1	P57739
CCDS14525.2	NP_078933.3	Q8TE76-1
CCDS14526.1	NP_060771.3	Q96IZ5-1
CCDS14527.1	NP_060151.2	Q9H1M0-1
CCDS14528.1	NP_001162625.1	Q9NQM4
CCDS14528.1	NP_775765.1	Q9NQM4
CCDS14529.1	NP_002755.1	P60891-1
CCDS14530.1	NP_001305397.1	Q99576-3
CCDS14530.1	NP_001305399.1	Q99576-3
CCDS14530.1	NP_932174.1	Q99576-3
CCDS14531.1	NP_004080.2	Q99576-1
CCDS14532.2	NP_036348.2	Q9UJV3-1
CCDS14533.2	NP_438112.2	Q9UJV3-2
CCDS14534.1	NP_112563.1	Q9BXU2
CCDS14535.1	NP_872413.1	Q86XK7-1
CCDS14536.1	NP_002805.1	O75832-1
CCDS14537.1	NP_736606.1	O75832-2
CCDS14538.1	NP_443168.2	Q8WYN0-1
CCDS14539.1	NP_840054.1	Q8WYN0-2
CCDS14541.1	NP_001838.2	Q14031-1
CCDS14542.1	NP_378667.1	Q14031-2
CCDS14543.1	NP_000486.1	P29400-1
CCDS14544.1	NP_003595.1	O14654
CCDS14545.1	NP_001513.2	P51841
CCDS14546.1	NP_061168.2	Q9NPJ8-3
CCDS14547.1	NP_036414.1	Q9UJ90
CCDS14548.1	NP_001305438.1	O60488-1
CCDS14548.1	NP_075266.1	O60488-1
CCDS14549.1	NP_001305439.1	O60488-2
CCDS14549.1	NP_004449.1	O60488-2
CCDS14550.2	NP_001340778.1	Q5U3C3-1
CCDS14550.2	NP_115603.2	Q5U3C3-1
CCDS14551.1	NP_056180.1	Q9Y4X0-1
CCDS14552.1	NP_065820.1	Q8NET4
CCDS14553.1	NP_660277.2	Q9BU40-6
CCDS14554.1	NP_001121638.1	O75914-2
CCDS14554.1	NP_001121639.1	O75914-2
CCDS14554.1	NP_001311254.1	O75914-2
CCDS14554.1	NP_001311255.1	O75914-2
CCDS14554.1	NP_001311259.1	O75914-2
CCDS14554.1	NP_001311260.1	O75914-2
CCDS14554.1	NP_001311261.1	O75914-2
CCDS14554.1	NP_001311263.1	O75914-2
CCDS14554.1	NP_002569.1	O75914-2
CCDS14555.1	NP_055104.2	Q9Y6Q1
CCDS14557.1	NP_835364.1	O43602-2
CCDS14557.1	NP_835366.1	O43602-2
CCDS14558.1	NP_835365.1	O43602-1
CCDS14559.1	NP_060936.1	Q9NP73-2
CCDS14561.1	NP_036603.1	Q9UL62
CCDS14562.1	NP_835469.1	Q86WI0-1
CCDS14563.1	NP_573572.1	Q4VCS5-2
CCDS14564.1	NP_000859.1	P28335-1
CCDS14564.1	NP_001243689.1	P28335-1
CCDS14565.1	NP_000631.1	Q14627
CCDS14567.1	NP_057467.1	Q9P127-1
CCDS14568.1	NP_001129497.1	P13797-1
CCDS14568.1	NP_005023.2	P13797-1
CCDS14569.1	NP_000677.2	P50052
CCDS14570.1	NP_009162.1	Q9UN76
CCDS14571.1	NP_277030.2	Q9P2N7-1
CCDS14572.1	NP_061918.3	Q5JSH3-1
CCDS14573.1	NP_001551.1	P78552-1
CCDS14574.1	NP_001299820.1	Q6PEW1
CCDS14574.1	NP_776159.1	Q6PEW1
CCDS14575.1	NP_079054.3	Q496Y0-2
CCDS14576.1	NP_006658.1	O00264-1
CCDS14577.1	NP_660348.2	Q8WUT9-1
CCDS14578.1	NP_001143.2	P05141
CCDS14580.1	NP_003327.2	P49459-1
CCDS14581.1	NP_861427.1	P49459-2
CCDS14583.1	NP_665801.1	Q14141-4
CCDS14584.1	NP_055944.2	Q14141-1
CCDS14585.1	NP_665798.1	Q14141-2
CCDS14585.1	NP_665799.1	Q14141-2
CCDS14586.1	NP_000991.1	P62891
CCDS14587.1	NP_075386.1	Q9BZI7-2
CCDS14588.1	NP_542199.1	Q9BZI7-1
CCDS14589.1	NP_008909.1	O15541
CCDS14590.1	NP_004532.1	O15239
CCDS14591.1	NP_848928.1	Q86UN6-1
CCDS14592.1	NP_078804.2	Q8N5F7
CCDS14593.1	NP_644811.1	Q8NHV9
CCDS14594.1	NP_115887.1	Q9BQY4
CCDS14596.1	NP_001171671.1	Q86T24
CCDS14596.1	NP_006768.1	Q86T24
CCDS14597.1	NP_060408.3	Q5JRV8-1
CCDS14598.1	NP_036201.1	Q9UN42-2
CCDS14599.1	NP_002285.1	P13473-1
CCDS14600.1	NP_054701.1	P13473-2
CCDS14601.1	NP_054779.1	Q9ULC4-1
CCDS14602.1	NP_001011551.1	Q96EU7
CCDS14602.1	NP_689905.1	Q96EU7
CCDS14603.1	NP_036216.2	P49448
CCDS14604.1	NP_000819.3	P42263-1
CCDS14605.1	NP_015564.4	P42263-2
CCDS14606.1	NP_001158.2	P98170
CCDS14606.1	NP_001191330.1	P98170
CCDS14607.1	NP_001036216.1	Q8N3U4-1
CCDS14607.1	NP_001269347.1	Q8N3U4-1
CCDS14607.1	NP_006594.3	Q8N3U4-1
CCDS14608.1	NP_002342.1	O60880-1
CCDS14609.1	NP_055068.2	Q9UKZ4-1
CCDS14610.1	NP_848565.2	Q5VU92
CCDS14611.1	NP_612146.1	Q8TDG2
CCDS14612.1	NP_003060.2	P28370-1
CCDS14613.1	NP_003390.4	O43895
CCDS14614.1	NP_061863.1	O75995
CCDS14615.1	NP_006640.2	Q9BVJ6-1
CCDS14616.1	NP_068765.3	Q5H9F3-1
CCDS14617.1	NP_001120669.1	Q99607
CCDS14617.1	NP_001412.1	Q99607
CCDS14618.1	NP_004199.1	O95831-1
CCDS14619.1	NP_665811.1	O95831-3
CCDS14621.1	NP_004785.1	Q14088
CCDS14622.1	NP_060136.1	Q8ND82
CCDS14623.1	NP_001269124.1	O95258-1
CCDS14624.1	NP_001269125.1	O95258-2
CCDS14625.1	NP_848566.1	Q8TDV5
CCDS14626.1	NP_872114.1	Q16206-1
CCDS14627.1	NP_001268665.1	Q16206-2
CCDS14627.1	NP_006366.2	Q16206-2
CCDS14628.1	NP_659404.2	Q6ZRI8-1
CCDS14629.1	NP_001546.2	Q8N6C5-1
CCDS14630.1	NP_001164434.1	Q8N6C5-3
CCDS14630.1	NP_991402.1	Q8N6C5-3
CCDS14631.1	NP_057626.2	Q9P289-1
CCDS14632.1	NP_001258115.1	Q9Y3L5
CCDS14632.1	NP_067006.3	Q9Y3L5
CCDS14633.1	NP_060858.2	Q9NUK0-1
CCDS14634.1	NP_597846.1	Q9NUK0-2
CCDS14635.1	NP_114113.1	Q9BXU7
CCDS14636.2	NP_057605.3	Q5H9I0
CCDS14637.1	NP_001439.2	O75487-1
CCDS14638.1	NP_004475.1	P51654-1
CCDS14639.1	NP_001015877.1	Q8IWS0-1
CCDS14639.1	NP_115834.1	Q8IWS0-1
CCDS14640.1	NP_115711.2	Q8IWS0-2
CCDS14641.1	NP_000185.1	P00492
CCDS14642.1	NP_001303816.1	Q9HBJ0
CCDS14642.1	NP_001303817.1	Q9HBJ0
CCDS14642.1	NP_001303818.1	Q9HBJ0
CCDS14642.1	NP_068568.1	Q9HBJ0
CCDS14643.1	NP_660327.2	Q7Z309-2
CCDS14644.1	NP_620174.1	Q6P4D5-2
CCDS14645.1	NP_062456.1	Q9UJG1-1
CCDS14647.1	NP_060333.1	Q8WUE5-2
CCDS14648.1	NP_009062.2	P51815-1
CCDS14649.1	NP_689908.3	Q6P9G9-1
CCDS14652.1	NP_061136.2	Q9NXZ1
CCDS14653.1	NP_001316929.1	Q8N4V1-1
CCDS14653.1	NP_775741.1	Q8N4V1-1
CCDS14654.1	NP_006350.1	Q92581-1
CCDS14655.1	NP_001153172.1	Q13642-1
CCDS14655.1	NP_001153176.1	Q13642-1
CCDS14655.1	NP_001161291.1	Q13642-1
CCDS14655.1	NP_001440.2	Q13642-1
CCDS14656.1	NP_001718.1	P32247
CCDS14657.1	NP_001156752.1	O43719
CCDS14657.1	NP_055315.2	O43719
CCDS14658.1	NP_057351.1	Q99990
CCDS14659.1	NP_000065.1	P29965
CCDS14660.1	NP_004831.1	Q15052-1
CCDS14661.1	NP_002130.2	P38159-1
CCDS14662.1	NP_473362.1	Q96P66
CCDS14663.1	NP_003404.1	O60481-1
CCDS14664.1	NP_378668.1	Q92913-2
CCDS14665.1	NP_004105.1	Q92913-1
CCDS14666.1	NP_000124.1	P00740-1
CCDS14667.1	NP_005360.3	P10911-1
CCDS14668.1	NP_775965.2	Q8NB49-1
CCDS14669.1	NP_005625.2	P41225
CCDS14670.1	NP_004056.2	P51861
CCDS14672.1	NP_036449.1	O95751
CCDS14673.1	NP_073152.2	Q9NY87
CCDS14674.1	NP_038481.2	Q9NS26
CCDS14675.1	NP_115793.1	Q9BXN6
CCDS14676.1	NP_619647.1	Q8TD91-1
CCDS14677.1	NP_803251.1	Q8TD91-2
CCDS14678.1	NP_057333.1	Q9UBF1
CCDS14679.1	NP_001171678.1	Q8IW52
CCDS14679.1	NP_001171679.1	Q8IW52
CCDS14679.1	NP_775101.1	Q8IW52
CCDS14680.1	NP_001137475.1	Q9H156-1
CCDS14680.1	NP_001137476.1	Q9H156-1
CCDS14680.1	NP_001137477.1	Q9H156-1
CCDS14680.1	NP_001137478.1	Q9H156-1
CCDS14680.1	NP_001137480.1	Q9H156-1
CCDS14680.1	NP_001137481.1	Q9H156-1
CCDS14680.1	NP_001137482.1	Q9H156-1
CCDS14680.1	NP_115928.1	Q9H156-1
CCDS14682.1	NP_002015.1	Q06787-1
CCDS14683.1	NP_689791.1	Q8N0W7
CCDS14684.1	NP_002016.2	P51816-1
CCDS14685.1	NP_000193.1	P22304-1
CCDS14686.1	NP_006114.1	P22304-2
CCDS14687.1	NP_001165378.1	Q8TE69-1
CCDS14687.1	NP_001165379.1	Q8TE69-1
CCDS14687.1	NP_001311203.1	Q8TE69-1
CCDS14687.1	NP_001311204.1	Q8TE69-1
CCDS14687.1	NP_001311206.1	Q8TE69-1
CCDS14687.1	NP_001311207.1	Q8TE69-1
CCDS14687.1	NP_001311209.1	Q8TE69-1
CCDS14687.1	NP_835225.2	Q8TE69-1
CCDS14689.1	NP_115897.1	Q8NFB2
CCDS14691.1	NP_005356.1	P43362
CCDS14692.1	NP_001159872.1	P43361
CCDS14692.1	NP_001159873.1	P43361
CCDS14692.1	NP_005355.2	P43361
CCDS14693.2	NP_005482.2	Q13495-1
CCDS14694.1	NP_000243.1	Q13496-1
CCDS14695.1	NP_003819.1	Q13613-1
CCDS14697.1	NP_604394.1	Q8TCZ2-3
CCDS14698.1	NP_604395.1	Q8TCZ2-2
CCDS14699.1	NP_076987.3	Q9BZD7
CCDS14700.1	NP_149076.1	Q969F0
CCDS14701.1	NP_005131.1	Q16280
CCDS14702.1	NP_001011548.1	P43358
CCDS14702.1	NP_001011549.1	P43358
CCDS14702.1	NP_001011550.1	P43358
CCDS14702.1	NP_002353.3	P43358
CCDS14703.1	NP_004952.2	P78334-1
CCDS14705.1	NP_001011543.2	P43363
CCDS14705.1	NP_001238757.1	P43363
CCDS14705.1	NP_066386.2	P43363
CCDS14706.1	NP_000799.1	P34903
CCDS14707.1	NP_061028.3	Q9UN88
CCDS14716.1	NP_004335.1	P41208
CCDS14717.1	NP_001123237.1	Q15738
CCDS14717.1	NP_057006.1	Q15738
CCDS14718.1	NP_001096620.1	Q96PV4
CCDS14718.1	NP_001096621.1	Q96PV4
CCDS14718.1	NP_001171853.1	Q96PV4
CCDS14718.1	NP_443158.1	Q96PV4
CCDS14719.1	NP_116271.3	P0CW24
CCDS14721.1	NP_001702.1	P21810
CCDS14722.1	NP_068768.2	Q16720-2
CCDS14724.1	NP_001305432.1	Q99956
CCDS14724.1	NP_001386.1	Q99956
CCDS14726.1	NP_005620.1	P48029-1
CCDS14727.1	NP_001132913.1	P51572-1
CCDS14727.1	NP_001243376.1	P51572-1
CCDS14727.1	NP_005736.3	P51572-1
CCDS14728.1	NP_000024.2	P33897
CCDS14729.1	NP_005384.2	Q9ULL4-1
CCDS14730.1	NP_004126.1	P51553-1
CCDS14731.1	NP_006271.1	P51571
CCDS14732.1	NP_115901.2	Q76G19-1
CCDS14733.1	NP_000416.1	P32004-1
CCDS14733.1	NP_001265045.1	P32004-1
CCDS14734.1	NP_076493.1	P32004-2
CCDS14735.1	NP_000045.1	P30518-1
CCDS14736.1	NP_001657.3	P98171-1
CCDS14737.1	NP_003482.1	P41227-1
CCDS14738.2	NP_002901.2	P51606-1
CCDS14739.1	NP_003483.1	Q14656
CCDS14740.1	NP_001560.2	P51617-1
CCDS14741.1	NP_004983.1	P51608-1
CCDS14742.1	NP_064445.2	P04000
CCDS14743.1	NP_000504.1	P04001
CCDS14744.2	NP_001192130.1	O15482
CCDS14744.2	NP_001577.1	O15482
CCDS14745.1	NP_000108.1	P50402
CCDS14746.1	NP_001290553.1	P27635
CCDS14746.1	NP_001290554.1	P27635
CCDS14746.1	NP_006004.3	P27635
CCDS14747.1	NP_001009932.1	P49184
CCDS14747.1	NP_001009933.1	P49184
CCDS14747.1	NP_001009934.1	P49184
CCDS14747.1	NP_001290549.1	P49184
CCDS14747.1	NP_006721.1	P49184
CCDS14748.1	NP_000107.1	Q16635-1
CCDS14749.1	NP_851828.1	Q16635-3
CCDS14750.1	NP_851829.1	Q16635-5
CCDS14751.1	NP_004690.1	Q14320
CCDS14752.1	NP_059984.3	P51805
CCDS14753.1	NP_006005.2	Q14657
CCDS14754.1	NP_055050.1	P11441
CCDS14755.1	NP_001135864.1	P09131-1
CCDS14755.1	NP_062822.1	P09131-1
CCDS14757.1	NP_001093327.1	Q9Y6K9-1
CCDS14757.1	NP_001308325.1	Q9Y6K9-1
CCDS14757.1	NP_003630.1	Q9Y6K9-1
CCDS14758.1	NP_001318.1	P78358-1
CCDS14759.1	NP_066274.2	O75638-1
CCDS14760.1	NP_542179.1	Q8WWW8-1
CCDS14761.1	NP_001354.1	O60832-1
CCDS14762.1	NP_002427.1	Q00013-1
CCDS14763.1	NP_076423.2	Q9BWH2
CCDS14764.1	NP_001018024.1	P56277-1
CCDS14766.1	NP_741995.1	Q96DA2
CCDS14767.1	NP_001280.3	O15247
CCDS14768.1	NP_060666.1	Q9NVH6-1
CCDS14769.4	NP_001291919.1	O43610
CCDS14769.4	NP_005831.1	O43610
CCDS14770.4	NP_005629.1	P51809-1
CCDS14771.4	NP_002177.2	Q01113-1
CCDS14772.1	NP_003131.1	Q05066
CCDS14773.1	NP_000999.1	P22090
CCDS14774.1	NP_003402.2	P08048-1
CCDS14775.1	NP_631960.1	Q8IUE0
CCDS14776.1	NP_001265548.1	Q9BZA8-3
CCDS14776.1	NP_116753.1	Q9BZA8-3
CCDS14777.1	NP_116754.1	Q9BZA8-2
CCDS14778.1	NP_001134.1	Q99218-1
CCDS14779.1	NP_150600.1	Q9BQ87
CCDS14779.1	NP_599020.1	Q9BQ87
CCDS14779.1	NP_599021.1	Q9BQ87
CCDS14781.1	NP_004645.2	O00507-1
CCDS14782.1	NP_001116137.1	O15523-1
CCDS14782.1	NP_004651.2	O15523-1
CCDS14783.1	NP_009056.3	O14607-1
CCDS14784.1	NP_872600.1	O14607-3
CCDS14785.1	NP_872601.1	O14607-2
CCDS14786.1	NP_004193.1	O14604
CCDS14788.1	NP_055708.3	Q8NFZ3-1
CCDS14789.1	NP_004816.1	Q9Y6F7
CCDS14790.1	NP_689797.1	Q96LI6-2
CCDS14791.1	NP_714927.1	Q96LI6-1
CCDS14794.1	NP_004644.2	Q9BY66-1
CCDS14795.1	NP_004672.2	O14602
CCDS14796.1	NP_005049.1	P0DJD3-1
CCDS14799.1	NP_004667.2	O14603-1
CCDS14800.1	NP_004669.2	O14599
CCDS14801.1	NP_004671.1	Q9Y6F8-2
CCDS14802.1	NP_733841.1	Q9Y6F8-1
CCDS30547.1	NP_001005484.1	Q8NH21
CCDS30550.1	NP_938073.1	Q6TDP4
CCDS30551.1	NP_940978.2	O00468-6
CCDS30552.1	NP_683700.1	Q9Y5U5-3
CCDS30553.1	NP_057260.2	Q9BRK5-1
CCDS30554.1	NP_001014980.1	Q5T7M4
CCDS30555.1	NP_001025056.1	Q5TA50
CCDS30556.1	NP_689414.1	Q7RTX0
CCDS30557.1	NP_112199.2	Q96S94-1
CCDS30558.1	NP_001034666.1	Q96S94-5
CCDS30559.1	NP_008914.1	O75900-1
CCDS30565.1	NP_001185922.1	O95544-1
CCDS30565.1	NP_001340570.1	O95544-1
CCDS30565.1	NP_075394.3	O95544-1
CCDS30566.1	NP_619650.2	Q8TD86
CCDS30569.2	NP_258428.2	Q495T6-1
CCDS30571.1	NP_055519.1	O60308-1
CCDS30573.1	NP_009205.3	O00154-7
CCDS30574.1	NP_061962.2	Q9Y543-1
CCDS30575.1	NP_055666.2	Q9UJP4-1
CCDS30576.1	NP_056030.1	Q9Y6Y1-1
CCDS30577.2	NP_001073866.2	Q9Y2W3
CCDS30578.1	NP_001206.2	P23280-1
CCDS30579.1	NP_001010866.1	Q5SNT2-2
CCDS30580.1	NP_001009566.1	O94985-1
CCDS30582.1	NP_004556.1	O75381-1
CCDS30584.1	NP_001001998.1	Q01780-1
CCDS30585.1	NP_001035284.1	Q6RW13-2
CCDS30586.1	NP_001035285.1	Q6RW13-4
CCDS30587.1	NP_001121132.1	O95140-1
CCDS30587.1	NP_055689.1	O95140-1
CCDS30588.1	NP_056193.2	Q5THJ4-1
CCDS30589.1	NP_060626.2	Q5THJ4-2
CCDS30590.1	NP_001013652.1	Q5VUY2
CCDS30591.1	NP_001013653.1	O60812
CCDS30592.1	NP_001009611.2	O60810
CCDS30593.1	NP_001012277.2	Q5VXH5
CCDS30594.1	NP_001010889.1	Q5VXH4
CCDS30602.1	NP_006465.3	Q86YL7-3
CCDS30603.1	NP_001007258.1	Q13029-5
CCDS30604.1	NP_001018000.1	Q674X7-3
CCDS30605.1	NP_056933.2	P08218
CCDS30606.1	NP_056106.1	Q9Y2G8-1
CCDS30607.1	NP_115717.3	Q5TDH0-1
CCDS30608.1	NP_001013663.1	A0PJX8
CCDS30609.1	NP_001019387.1	Q8WUP2-3
CCDS30611.1	NP_055239.1	Q9UBY9-1
CCDS30613.1	NP_061867.1	Q6P3S6
CCDS30616.1	NP_055490.4	Q5TZA2-1
CCDS30617.1	NP_001011722.2	Q9HCE6-2
CCDS30618.1	NP_001035215.1	Q6ZP29-3
CCDS30620.1	NP_001027535.1	Q5TGZ0-1
CCDS30621.1	NP_057371.2	Q5SSJ5-1
CCDS30623.1	NP_115612.4	Q86UV5-1
CCDS30624.1	NP_001013715.2	Q5SZI1
CCDS30625.1	NP_005520.4	P98160
CCDS30626.1	NP_001006944.1	P29322-2
CCDS30627.1	NP_055828.2	O60341-1
CCDS30628.1	NP_001136018.1	Q86V48-1
CCDS30628.1	NP_361013.3	Q86V48-1
CCDS30629.1	NP_006616.1	O75494-3
CCDS30630.1	NP_473357.1	O75494-1
CCDS30631.1	NP_001309783.1	Q6P499-1
CCDS30631.1	NP_001309784.1	Q6P499-1
CCDS30631.1	NP_001309785.1	Q6P499-1
CCDS30631.1	NP_001309786.1	Q6P499-1
CCDS30631.1	NP_065181.1	Q6P499-1
CCDS30632.1	NP_001010980.1	Q5T1S8
CCDS30633.1	NP_001026850.1	Q13761-2
CCDS30633.1	NP_001307601.1	Q13761-2
CCDS30634.1	NP_619522.3	P18577-4
CCDS30635.1	NP_065231.3	P18577-1
CCDS30636.1	NP_619523.3	P18577-3
CCDS30637.1	NP_619524.4	P18577-2
CCDS30638.1	NP_060672.2	Q8N5G2-1
CCDS30639.1	NP_056442.2	Q5SW96
CCDS30644.1	NP_001004434.1	Q9BRI3-2
CCDS30645.1	NP_937770.1	Q7RTX7-1
CCDS30647.1	NP_001794.2	P31358
CCDS30649.1	NP_001006666.1	Q15418-2
CCDS30650.1	NP_115659.1	Q9NUE0-1
CCDS30652.1	NP_001025053.1	Q5TGY3
CCDS30653.1	NP_004839.2	Q5TEJ8-2
CCDS30654.1	NP_001034566.1	Q5TEJ8-4
CCDS30655.1	NP_055289.2	Q92485-1
CCDS30656.1	NP_001009568.1	Q92485-2
CCDS30658.1	NP_001003682.1	Q69YZ2
CCDS30658.1	NP_001165339.1	Q69YZ2
CCDS30659.1	NP_057095.4	Q9BV79-1
CCDS30660.1	NP_001019903.3	Q9BV79-2
CCDS30660.1	NP_001336640.1	Q9BV79-2
CCDS30660.1	NP_001336641.1	Q9BV79-2
CCDS30660.1	NP_001336642.1	Q9BV79-2
CCDS30660.1	NP_001336643.1	Q9BV79-2
CCDS30661.1	NP_055469.3	O75056
CCDS30662.1	NP_849196.2	Q96SA4-1
CCDS30664.1	NP_001035531.2	Q96BR9-1
CCDS30666.1	NP_001243050.1	Q96BU1-1
CCDS30666.1	NP_073590.2	Q96BU1-1
CCDS30668.1	NP_660206.2	Q8WW32
CCDS30669.1	NP_002051.2	P35212
CCDS30670.1	NP_001073887.1	O95886
CCDS30672.1	NP_001014841.1	Q9UBB6-2
CCDS30673.1	NP_060537.3	Q3KQU3-1
CCDS30674.2	NP_078952.4	A4FU49-3
CCDS30675.1	NP_078916.3	Q86U90
CCDS30676.1	NP_005946.2	Q14872
CCDS30678.1	NP_004459.2	Q13643
CCDS30679.1	NP_002690.3	Q03052
CCDS30680.1	NP_060291.2	Q9NX52-1
CCDS30681.1	NP_060116.2	Q9H3H1-1
CCDS30682.1	NP_001028253.1	P12524-1
CCDS30684.1	NP_001008740.1	Q7Z6W1
CCDS30686.1	NP_001307108.1	Q49AA0
CCDS30686.1	NP_940896.2	Q49AA0
CCDS30687.1	NP_055562.2	Q9UJD0-1
CCDS30688.1	NP_001026864.1	Q96GD3-1
CCDS30689.1	NP_001185779.1	Q9UPW0-1
CCDS30689.1	NP_001185780.1	Q9UPW0-1
CCDS30689.1	NP_055762.3	Q9UPW0-1
CCDS30690.1	NP_001074319.1	Q5VVM6-1
CCDS30694.2	NP_056099.3	Q5T011-5
CCDS30695.1	NP_001020016.1	P48067-2
CCDS30695.1	NP_001315558.1	P48067-2
CCDS30696.1	NP_076971.1	O43414-1
CCDS30699.1	NP_001013654.1	Q5JR98
CCDS30702.1	NP_005888.1	Q9Y573-1
CCDS30703.1	NP_001013633.1	Q96LR2
CCDS30704.1	NP_005995.2	P07919
CCDS30706.1	NP_055589.1	O75071
CCDS30707.1	NP_001010969.2	Q5TCH4-1
CCDS30708.1	NP_004465.3	O60548
CCDS30709.2	NP_001011547.2	Q2M3M2-1
CCDS30713.1	NP_689478.1	Q96K17-1
CCDS30714.1	NP_115825.1	Q5T0F9-1
CCDS30716.1	NP_056084.1	Q5TAX3-1
CCDS30717.1	NP_078922.1	Q9C0D3-1
CCDS30719.1	NP_001007251.1	P22307-5
CCDS30720.1	NP_001018064.1	Q14114-3
CCDS30722.1	NP_001034804.1	P49895-4
CCDS30725.1	NP_001010978.2	Q5T700-1
CCDS30726.1	NP_001009955.1	Q9BWW4-2
CCDS30729.1	NP_001004303.3	Q5VWT5-1
CCDS30730.1	NP_000057.2	P07358
CCDS30734.1	NP_212132.2	Q96N67-5
CCDS30735.1	NP_037471.2	Q9Y672
CCDS30736.1	NP_055103.3	Q13352-1
CCDS30737.1	NP_115813.2	A8K855-1
CCDS30739.1	NP_055602.1	O75061-1
CCDS30740.1	NP_001003679.1	P48357-2
CCDS30740.1	NP_001185618.1	P48357-2
CCDS30741.1	NP_001003680.1	P48357-3
CCDS30741.1	NP_001185616.1	P48357-3
CCDS30742.1	NP_001032417.1	Q07343-3
CCDS30743.1	NP_001032416.1	Q07343-2
CCDS30744.1	NP_115667.2	Q9BQI5-1
CCDS30745.1	NP_001263280.1	Q5JVX7-1
CCDS30746.1	NP_001018077.1	Q8NC51-1
CCDS30747.1	NP_001018079.1	Q8NC51-3
CCDS30748.1	NP_001018078.1	Q8NC51-2
CCDS30749.1	NP_061329.3	Q9UBI6
CCDS30750.1	NP_001002292.3	Q5T9L3-2
CCDS30752.1	NP_001026863.1	Q9XRX5-2
CCDS30753.1	NP_001031722.1	Q9XRX5-4
CCDS30755.1	NP_001002912.4	Q5RHP9-1
CCDS30756.1	NP_001001933.1	Q68G74-1
CCDS30759.1	NP_001034674.1	P43088-2
CCDS30760.1	NP_001010971.1	Q5VXD3-2
CCDS30762.1	NP_694991.2	Q8IZK6-1
CCDS30763.2	NP_065780.2	Q9ULJ1-3
CCDS30766.1	NP_001008661.1	Q6YP21-1
CCDS30766.1	NP_001336377.1	Q6YP21-1
CCDS30767.1	NP_001008662.1	Q6YP21-3
CCDS30767.1	NP_001336376.1	Q6YP21-3
CCDS30769.2	NP_001017975.4	A2PYH4-1
CCDS30770.1	NP_003234.2	Q03167-1
CCDS30772.1	NP_001012425.1	Q5VVC0
CCDS30773.1	NP_001120687.1	Q99684
CCDS30773.1	NP_001120688.1	Q99684
CCDS30773.1	NP_005254.2	Q99684
CCDS30774.1	NP_005656.4	O60447-1
CCDS30775.1	NP_001830.1	Q15417-1
CCDS30777.1	NP_000101.2	Q12882-1
CCDS30778.1	NP_001032394.1	Q32ZL2-1
CCDS30779.1	NP_001010861.1	Q32ZL2-2
CCDS30781.1	NP_477518.2	Q96PB7-3
CCDS30782.1	NP_001008222.1	P04745
CCDS30782.1	NP_004029.2	P04745
CCDS30783.1	NP_001008219.1	P04745
CCDS30784.1	NP_001008220.1	P04745
CCDS30784.1	NP_001333709.1	P04745
CCDS30785.1	NP_055732.2	Q9Y2I2-1
CCDS30786.2	NP_001010883.2	Q5T8I3-1
CCDS30787.1	NP_055784.3	O94967-3
CCDS30788.1	NP_005636.1	Q15543
CCDS30789.1	NP_064526.1	Q9NRX6
CCDS30791.1	NP_001005290.1	Q6PGN9-3
CCDS30793.1	NP_001010985.2	A2RUH7-1
CCDS30794.1	NP_699171.3	Q5T6C5
CCDS30795.1	NP_065754.2	Q86WK6
CCDS30796.1	NP_981949.1	Q01433-3
CCDS30797.1	NP_757350.1	P09603-3
CCDS30798.1	NP_149079.2	Q5VSL9-1
CCDS30799.1	NP_001010898.1	Q9H1V8
CCDS30800.1	NP_060842.3	Q5T3J3-1
CCDS30801.1	NP_001336810.1	Q6UX65
CCDS30801.1	NP_001336811.1	Q6UX65
CCDS30801.1	NP_001336813.1	Q6UX65
CCDS30801.1	NP_001336814.1	Q6UX65
CCDS30801.1	NP_848549.3	Q6UX65
CCDS30802.1	NP_003991.2	Q15782-4
CCDS30803.1	NP_001020368.1	Q15782-6
CCDS30805.1	NP_006126.1	P52907
CCDS30806.1	NP_001004440.1	Q7Z5A8-2
CCDS30808.1	NP_055628.1	O94898
CCDS30809.1	NP_001010922.1	Q5TBC7-1
CCDS30811.1	NP_001229822.1	O75534-2
CCDS30811.1	NP_009089.4	O75534-2
CCDS30812.1	NP_001007554.1	O75534-1
CCDS30812.1	NP_001229821.1	O75534-1
CCDS30813.1	NP_001007238.1	O75054-1
CCDS30814.1	NP_001533.2	O75054-2
CCDS30816.1	NP_689593.2	Q96SF7-2
CCDS30817.1	NP_957715.1	Q9UGM6-2
